frame,x,y
0,870,1088
1,882,1079
2,900,1070
3,901,1071
4,915,1063
5,934,1054
6,933,1055
7,951,1045
8,960,1041
9,980,1033
10,981,1033
11,996,1024
12,1004,1022
13,1021,1016
14,1035,1009
15,1040,1008
16,1054,999
17,1062,998
18,1075,993
19,1093,984
20,1099,985
21,1115,977
22,1122,976
23,1143,967
24,1147,969
25,1167,961
26,1174,960
27,1189,954
28,1198,953
29,1218,945
30,1225,946
31,1239,941
32,1252,938
33,1264,933
34,1279,931
35,1291,927
36,1311,920
37,1319,920
38,1332,915
39,1344,914
40,1365,906
41,1372,906
42,1386,902
43,1400,899
44,1413,896
45,1426,894
46,1441,890
47,1454,887
48,1468,883
49,1480,882
50,1496,878
51,1508,876
52,1523,873
53,1536,870
54,1551,869
55,1562,866
56,1577,864
57,1592,861
58,1605,860
59,1618,856
60,1632,855
61,1646,853
62,1658,849
63,1672,848
64,1686,847
65,1698,844
66,1712,842
67,1727,841
68,1741,838
69,1755,836
70,1768,834
71,1782,833
72,1795,831
73,1809,830
74,1822,828
75,1836,827
76,1849,826
77,1863,823
78,1876,822
79,1889,820
80,1904,819
81,1917,818
82,1931,817
83,1944,814
84,1957,813
85,1972,813
86,1984,811
87,1999,809
88,2012,808
89,2027,808
90,2039,806
91,2053,805
92,2067,803
93,2080,802
94,2094,801
95,2107,800
96,2121,799
97,2134,798
98,2149,797
99,2161,796
100,2175,795
101,2188,794
102,2202,793
103,2215,793
104,2228,791
105,2241,791
106,2254,790
107,2267,790
108,2280,790
109,2293,790
110,2306,790
111,2318,789
112,2331,788
113,2344,788
114,2357,788
115,2368,788
116,2380,788
117,2392,788
118,2405,788
119,2416,788
120,2428,787
121,2441,788
122,2452,788
123,2464,788
124,2475,788
125,2485,788
126,2497,788
127,2507,788
128,2519,788
129,2530,788
130,2542,789
131,2551,789
132,2562,789
133,2572,790
134,2584,790
135,2595,790
136,2605,791
137,2617,792
138,2625,792
139,2635,792
140,2646,792
141,2655,792
142,2667,793
143,2674,792
144,2682,793
145,2693,794
146,2702,794
147,2712,795
148,2720,795
149,2730,795
150,2739,795
151,2748,796
152,2756,796
153,2764,796
154,2774,797
155,2784,797
156,2792,797
157,2801,797
158,2811,798
159,2819,799
160,2827,798
161,2836,798
162,2844,799
163,2852,799
164,2861,799
165,2868,799
166,2878,800
167,2884,800
168,2894,800
169,2901,800
170,2910,801
171,2918,801
172,2927,802
173,2935,803
174,2943,803
175,2951,803
176,2959,804
177,2967,804
178,2975,804
179,2984,804
180,2992,805
181,3000,806
182,3007,806
183,3015,806
184,3023,806
185,3030,807
186,3038,808
187,3046,808
188,3053,809
189,3060,810
190,3068,811
191,3074,811
192,3082,812
193,3090,813
194,3097,813
195,3104,813
196,3111,814
197,3118,815
198,3126,816
199,3132,818
200,3139,818
201,3146,819
202,3154,819
203,3161,821
204,3168,821
205,3173,822
206,3183,824
207,3189,824
208,3194,827
209,3204,827
210,3209,829
211,3216,829
212,3223,830
213,3232,830
214,3239,832
215,3246,833
216,3253,834
217,3260,836
218,3267,837
219,3274,839
220,3280,840
221,3288,841
222,3294,843
223,3301,845
224,3309,846
225,3315,848
226,3323,850
227,3330,851
228,3335,852
229,3342,854
230,3349,856
231,3357,857
232,3364,858
233,3372,860
234,3376,862
235,3383,864
236,3390,866
237,3395,867
238,3400,870
239,3408,871
240,3415,872
241,3420,874
242,3426,876
243,3433,878
244,3437,879
245,3447,881
246,3454,882
247,3461,882
248,3462,881
249,3466,882
250,3469,881
251,3471,880
252,3473,878
253,3475,876
254,3510,893
255,3512,895
256,3520,896
257,3523,895
258,3525,893
259,3528,893
260,3507,873
261,3510,869
262,3508,864
263,3512,860
264,3518,860
265,3521,860
266,3527,862
267,3538,859
268,3547,854
269,3551,853
270,3557,844
271,3558,846
272,3520,819
273,3522,818
274,3525,817
275,3543,818
276,3579,837
277,3580,838
278,3579,837
279,3580,837
280,3657,895
281,3659,897
282,3663,899
283,3666,899
284,3672,897
285,3678,899
286,3685,900
287,3697,906
288,3699,908
289,3704,911
290,3708,910
291,3714,910
292,3718,908
293,3738,922
294,3742,925
295,3745,927
296,3748,929
297,3754,932
298,3758,932
299,3770,938
300,3772,938
301,3776,936
302,3778,936
303,3789,941
304,3790,941
305,3793,938
306,3796,938
307,3806,945
308,3808,942
309,3811,939
310,3814,938
311,3816,936
312,3819,933
313,3821,931
314,3823,928
315,3825,926
