frame,instantaneous_velocity,smoothed_velocity
1,14.7648230602334,13.96709404501934
2,16.1245154965971,14.055859323245851
3,7.615773105863909,13.307388006150564
4,9.848857801796104,13.396153284377075
5,17.4928556845359,12.81409816935365
6,15.652475842498529,12.860770484503092
7,7.280109889280518,12.238688553011505
8,15.652475842498529,12.372661923009094
9,8.94427190999916,12.465484986954454
10,15.231546211727817,13.045846791024697
11,8.54400374531753,12.245244520621622
12,17.46424919657298,12.203151557544551
13,8.54400374531753,12.519171219507554
14,15.652475842498529,12.569473077398053
15,9.486832980505138,12.597000332127426
16,15.231546211727817,12.505627817282278
17,10.44030650891055,12.59991074080104
18,16.15549442140351,12.469035263284093
19,9.219544457292887,12.634438791470895
20,14.317821063276353,12.815616126878343
21,9.486832980505138,12.971468930546555
22,16.15549442140351,12.782480715786408
23,10.198039027185569,13.353999507035704
24,17.46424919657298,12.782480715786408
25,11.045361017187261,13.441665100141307
26,13.341664064126334,13.114419095532398
27,16.15549442140351,13.842041258905905
28,10.44030650891055,13.27052246765661
29,15.811388300841896,13.36875255368795
30,11.045361017187261,13.460805265115676
31,16.76305461424021,13.474303152146845
32,10.44030650891055,13.912141260401148
33,11.180339887498949,13.41462580701069
34,18.384776310850235,14.046900617543656
35,11.180339887498949,13.485565690178024
36,17.72004514666935,14.153034103126231
37,11.180339887498949,13.581264743420936
38,16.76305461424021,14.283659012187181
39,10.198039027185569,14.469465504477816
40,17.72004514666935,13.749021862142687
41,11.045361017187261,14.402992388059726
42,17.46424919657298,13.749021862142687
43,13.038404810405298,14.087009851248894
44,11.180339887498949,13.725999033621463
45,17.72004514666935,13.92274763696255
46,11.180339887498949,14.048109718396642
47,14.560219778561036,14.048109718396642
48,13.152946437965905,13.71589836111244
49,12.165525060596439,13.628610386131555
50,18.973665961010276,14.040282251459496
51,11.045361017187261,13.47243719467179
52,14.142135623730951,13.786185312249529
53,12.165525060596439,13.88258080401943
54,15.297058540778355,13.871126641263368
55,12.041594578792296,13.858733593082954
56,14.317821063276353,13.513784466607927
57,15.524174696260024,13.713088845929732
58,13.038404810405298,13.614169927353228
59,12.041594578792296,14.046859671540648
60,15.524174696260024,13.721313275342041
61,13.038404810405298,13.820994298503342
62,13.152946437965905,13.803425754548803
63,16.492422502470642,13.780714139000636
64,12.041594578792296,13.90865576428774
65,13.038404810405298,14.10806319117033
66,14.142135623730951,13.759805179423557
67,15.297058540778355,13.870178260756123
68,14.317821063276353,13.858724098000062
69,14.035668847618199,13.524776491549588
70,12.041594578792296,13.82394667150765
71,14.142135623730951,13.835400834263712
72,13.038404810405298,13.725027752931146
73,13.152946437965905,13.747739368479312
74,15.033296378372908,13.615957262151678
75,13.152946437965905,13.41654983526909
76,13.038404810405298,13.764807847015863
77,15.524174696260024,13.750594284642768
78,13.0,13.66330630966188
79,12.041594578792296,13.960463215525
80,15.524174696260024,13.661293035566937
81,14.0,13.745998391770346
82,12.165525060596439,13.646317368609044
83,16.1245154965971,13.397740380023572
84,12.041594578792296,13.650157849649574
85,14.0,13.745998391770346
86,12.041594578792296,13.597147806906161
87,13.038404810405298,13.600714691667983
88,15.524174696260024,13.688002666648867
89,13.0,13.379391598029688
90,14.035668847618199,13.589445702523554
91,14.035668847618199,13.689445702523553
92,13.038404810405298,13.689445702523553
93,13.038404810405298,13.700899865279615
94,14.142135623730951,13.552049280415432
95,15.0,13.652049280415431
96,12.041594578792296,13.465034901713256
97,13.152946437965905,13.564797654788725
98,14.035668847618199,13.664524058510017
99,14.0,13.664524058510017
100,12.165525060596439,13.554150977177452
101,15.033296378372908,13.35415097717745
102,14.035668847618199,13.549991519298223
103,13.038404810405298,13.534696875501632
104,13.038404810405298,13.335289448619042
105,13.0,13.335289448619042
106,14.0,13.318736942559397
107,13.0,13.119247785762635
108,12.041594578792296,13.115680901000815
109,14.0,13.015999877839514
110,12.0,13.012159396798983
111,13.038404810405298,12.812159396798984
112,14.0,12.612159396798983
113,12.041594578792296,12.715726281560803
114,13.0,12.811566823681574
115,11.0,12.511566823681573
116,12.0,12.511566823681573
117,14.035668847618199,12.411885800520274
118,13.0,12.216045258399504
119,11.0,12.116421902239
120,12.0,12.02058136011823
121,12.041594578792296,12.12474081799746
122,12.041594578792296,12.029276919716185
123,11.045361017187261,11.725710034954366
124,12.041594578792296,11.525710034954367
125,12.041594578792296,11.629869492833596
126,11.045361017187261,11.434857054945684
127,11.0,11.330697597066456
128,11.0,11.330697597066456
129,12.041594578792296,11.42616149534773
130,10.04987562112089,11.326538139187225
131,11.0,11.027917195121738
132,12.041594578792296,11.023381093403012
133,12.0,11.027917195121738
134,11.045361017187261,10.927917195121738
135,9.055385138137417,10.828293838961233
136,11.0,10.723306276849145
137,11.045361017187261,10.723306276849145
138,10.0,10.419146818969915
139,11.045361017187261,10.323682920688642
140,9.0,10.119146818969915
141,11.0,10.318144406874898
142,9.0,10.12368292068864
143,11.045361017187261,10.12368292068864
144,9.0,10.02922143450238
145,11.045361017187261,9.73091110761351
146,9.055385138137417,9.935447209332235
147,11.045361017187261,9.735447209332236
148,9.055385138137417,9.735447209332236
149,8.06225774829855,9.536449621427252
150,11.045361017187261,9.442675396257107
151,9.0,9.442675396257107
152,9.0,9.337136882443366
153,9.055385138137417,9.138139294538382
154,8.06225774829855,8.939707561911188
155,11.045361017187261,9.033481787081334
156,8.0,8.83448419917635
157,9.055385138137417,8.840022712990091
158,7.0710678118654755,8.845561226803833
159,9.0,8.840022712990091
160,9.055385138137417,8.939335451973978
161,9.055385138137417,8.534799350255252
162,9.055385138137417,8.534799350255252
163,9.0,8.534799350255252
164,9.055385138137417,8.832680131180792
165,7.0,8.565135663214468
166,8.0,8.664584711512816
167,9.055385138137417,8.659046197699075
168,10.04987562112089,8.553507683885334
169,6.324555320336759,8.453507683885334
170,10.04987562112089,8.453507683885334
171,9.0,8.553507683885334
172,8.0,8.553507683885334
173,8.0,8.553507683885334
174,9.055385138137417,8.348520121773245
175,8.0,8.616064589739569
176,8.0,8.417302802457336
177,9.055385138137417,8.317302802457336
178,8.0,8.217302802457336
179,9.0,8.217302802457336
180,8.06225774829855,8.117990063473448
181,8.0,8.239944509202736
182,7.0,8.039944509202737
183,8.0,8.034405995388994
184,8.06225774829855,7.934405995388994
185,9.219544457292887,7.840631770218849
186,6.0,7.840631770218849
187,9.0,7.747738551405396
188,7.0,7.747738551405396
189,8.06225774829855,7.753964326235251
190,8.06225774829855,7.753964326235251
191,7.0710678118654755,7.5391166616925105
192,7.0,7.547392914722333
193,8.06225774829855,7.447392914722333
194,8.06225774829855,7.475403903650386
195,7.0710678118654755,7.26917812882053
196,6.082762530298219,7.287573479114208
197,8.0,7.308477686855713
198,7.280109889280518,7.414703461685567
199,6.0,7.308477686855713
200,8.246211251235321,7.002251912025858
201,7.280109889280518,7.119766255962842
202,8.06225774829855,7.336111128056553
203,7.0,7.144387381086375
204,5.0,7.1163763921583225
205,8.246211251235321,7.322602166988178
206,8.246211251235321,7.322602166988178
207,6.082762530298219,7.194591178060125
208,7.0,7.095472184416818
209,8.06225774829855,7.0037484374466406
210,8.246211251235321,7.30374843744664
211,6.0,7.2071383012511605
212,7.0710678118654755,7.110528165055681
213,6.082762530298219,7.202251912025858
214,8.0,7.209358693212406
215,7.280109889280518,7.227754043506083
216,7.280109889280518,6.91303486974183
217,7.0,7.332838772460387
218,7.0710678118654755,7.42573199127384
219,8.246211251235321,7.524562519430565
220,5.0990195135927845,7.53078829426042
221,10.198039027185569,7.53078829426042
222,8.0,7.502777305332367
223,7.0710678118654755,7.6273984304559
224,8.06225774829855,7.4301936006286295
225,7.280109889280518,7.4301936006286295
226,7.0,7.332602211831118
227,8.246211251235321,7.167198683644314
228,5.0990195135927845,7.074305464830862
229,8.246211251235321,7.221599058176066
230,4.123105625617661,6.775928410892611
231,8.54400374531753,6.755024203151106
232,7.0710678118654755,6.783035192079159
233,8.54400374531753,6.686425055883679
234,3.605551275463989,6.808978636558076
235,7.0710678118654755,6.522873992147995
236,7.280109889280518,6.557777025086186
237,7.280109889280518,6.063931778100832
238,6.324555320336759,6.46136109863301
239,5.385164807134504,6.806960724101257
240,4.47213595499958,7.271026721678391
241,3.605551275463989,7.263919940491843
242,11.045361017187261,7.074425432277242
243,12.0,6.84641444334919
244,8.246211251235321,6.437565709065493
245,7.0,6.531504760385718
246,5.385164807134504,6.400518930902598
247,5.0,6.487177398856157
248,2.23606797749979,6.869248171869282
249,6.324555320336759,6.269248171869282
250,3.1622776601683795,5.586048402983059
251,4.47213595499958,5.18604840298306
252,14.866068747318506,6.785287754912804
253,6.0,6.868382944397334
254,1.4142135623730951,6.944776146647355
255,3.0,6.81232061461368
256,21.37755832643195,7.00599479995612
257,5.830951894845301,6.782388002206142
258,3.0,5.519387925224271
259,5.0,6.730464952851753
260,5.0990195135927845,7.089043596614443
261,2.23606797749979,6.930464952851753
262,2.23606797749979,5.292709120208558
263,18.110770276274835,5.349926354467312
264,5.0,8.585460260400051
265,1.4142135623730951,8.585460260400051
266,5.0,8.216979665278082
267,6.4031242374328485,8.293372867528102
268,35.35533905932738,11.709821014418385
269,5.0,10.507020239820722
270,1.4142135623730951,10.728130494913518
271,3.0,11.033922734176167
272,36.40054944640259,11.428349925176082
273,6.082762530298219,11.420493033466474
274,7.211102550927978,8.779386318533652
275,4.47213595499958,9.133786693065405
276,8.94427190999916,9.275208049302714
277,6.324555320336759,10.052241010729613
278,8.94427190999916,6.824496628651121
279,8.54400374531753,7.110647566621215
280,2.8284271247461903,7.283964502528333
281,10.770329614269007,7.543857688214922
282,4.123105625617661,7.7264634586419065
283,8.94427190999916,7.541221522108188
284,8.94427190999916,7.367904586201069
285,7.0710678118654755,7.184324604919253
286,10.770329614269007,7.54179431618792
287,4.47213595499958,7.047856544245549
288,7.211102550927978,6.996101109230182
289,6.708203932499369,6.996101109230182
290,6.4031242374328485,6.907899693060121
291,5.830951894845301,6.98181787946424
292,3.605551275463989,6.5756053112872745
293,8.94427190999916,6.628391715787316
294,8.06225774829855,6.490376650179049
295,7.810249675906654,6.319556256929111
296,6.708203932499369,6.350064226435764
297,5.0,6.214182632451192
298,5.830951894845301,6.300841100404751
299,5.0,6.391299689584446
300,6.708203932499369,5.7264952709919
301,4.47213595499958,5.888868416606895
302,4.47213595499958,5.979625333943349
303,9.848857801796104,6.200735589036147
304,1.4142135623730951,5.617640399551616
305,9.433981132056603,5.517640399551617
306,7.615773105863909,4.94682000630168
307,7.211102550927978,4.4996064108017215
308,0.0,4.652392815301764
309,4.0,3.9675070351221535
310,1.0,4.326085678884844
311,0.0,3.882687565679184
312,6.0,3.6211102550927934
313,3.0,3.399999999999996
314,5.0,3.899999999999996
315,5.0,3.9999999999999956
