frame,x_position,y_position,x_velocity,x_acceleration
2.0,877.4,1093.6,N/A,N/A
7.0,934.6,1064.6,57.200000000000045,N/A
12.0,991.0,1039.8,56.39999999999998,-0.8000000000000682
17.0,1049.0,1016.6,58.0,1.6000000000000227
22.0,1108.4,994.8,59.40000000000009,1.400000000000091
27.0,1172.4,975.8,64.0,4.599999999999909
32.0,1236.6,958.0,64.19999999999982,0.1999999999998181
37.0,1303.6,939.4,67.0,2.800000000000182
42.0,1371.8,922.2,68.20000000000005,1.2000000000000455
47.0,1438.8,906.8,67.0,-1.2000000000000455
52.0,1507.0,892.6,68.20000000000005,1.2000000000000455
57.0,1573.8,881.6,66.79999999999995,-1.400000000000091
62.0,1642.0,870.2,68.20000000000005,1.400000000000091
67.0,1710.6,860.2,68.59999999999991,0.3999999999998636
72.0,1778.2,851.8,67.60000000000014,-0.9999999999997726
77.0,1846.0,843.6,67.79999999999995,0.1999999999998181
82.0,1914.2,834.8,68.20000000000005,0.40000000000009095
87.0,1981.0,829.0,66.79999999999995,-1.400000000000091
92.0,2049.0,822.8,68.0,1.2000000000000455
97.0,2116.8,817.6,67.80000000000018,-0.1999999999998181
102.0,2184.2,812.0,67.39999999999964,-0.4000000000005457
107.0,2250.6,809.6,66.40000000000009,-0.9999999999995453
112.0,2315.2,807.8,64.59999999999991,-1.800000000000182
117.0,2377.4,806.4,62.20000000000027,-2.399999999999636
122.0,2437.6,805.6,60.19999999999982,-2.0000000000004547
127.0,2495.2,806.0,57.59999999999991,-2.599999999999909
132.0,2551.0,806.8,55.80000000000018,-1.7999999999997272
137.0,2604.6,807.8,53.59999999999991,-2.200000000000273
142.0,2655.4,809.4,50.80000000000018,-2.799999999999727
147.0,2705.0,811.0,49.59999999999991,-1.2000000000002728
152.0,2751.8,812.2,46.80000000000018,-2.799999999999727
157.0,2796.4,813.2,44.59999999999991,-2.200000000000273
162.0,2840.0,814.0,43.59999999999991,-1.0
167.0,2882.0,815.6,42.0,-1.599999999999909
172.0,2925.0,816.2,43.0,1.0
177.0,2966.8,817.6,41.80000000000018,-1.199999999999818
182.0,3007.4,819.2,40.59999999999991,-1.2000000000002728
187.0,3046.6,822.2,39.19999999999982,-1.400000000000091
192.0,3084.6,825.4,38.0,-1.199999999999818
197.0,3120.6,828.0,36.0,-2.0
202.0,3156.2,833.2,35.59999999999991,-0.40000000000009095
207.0,3191.4,838.4,35.20000000000027,-0.3999999999996362
212.0,3227.0,843.0,35.59999999999991,0.3999999999996362
217.0,3262.2,848.4,35.19999999999982,-0.40000000000009095
222.0,3293.2,858.2,31.0,-4.199999999999818
227.0,3330.0,864.0,36.80000000000018,5.800000000000182
232.0,3362.4,872.6,32.40000000000009,-4.400000000000091
237.0,3394.2,882.0,31.799999999999727,-0.6000000000003638
242.0,3424.6,891.4,30.40000000000009,-1.3999999999996362
247.0,3458.6,896.8,34.0,3.599999999999909
252.0,3484.2,905.8,25.59999999999991,-8.400000000000091
257.0,3519.8,914.6,35.600000000000364,10.000000000000455
262.0,3547.0,922.2,27.199999999999818,-8.400000000000546
267.0,3571.8,925.2,24.800000000000182,-2.399999999999636
272.0,3621.0,935.2,49.19999999999982,24.399999999999636
277.0,3662.8,951.6,41.80000000000018,-7.399999999999636
282.0,3695.2,966.2,32.399999999999636,-9.400000000000546
287.0,3729.0,984.6,33.80000000000018,1.4000000000005457
292.0,3756.4,1001.0,27.40000000000009,-6.400000000000091
297.0,3785.0,1019.0,28.59999999999991,1.199999999999818
302.0,3809.4,1032.6,24.40000000000009,-4.199999999999818
307.0,3835.2,1047.6,25.799999999999727,1.3999999999996362
312.0,3839.0,1053.4,3.800000000000182,-21.999999999999545
315.0,3839.0,1045.0,0.0,-3.800000000000182
